   3.10575    8.65176 2
   3.60623    7.79335 2
   4.49634   10.16057 2
   4.23835    8.63116 2
   3.80555    8.27822 2
   4.46594    7.91819 2
   2.99117    7.49984 2
   2.56133    5.97639 1
   2.31611    5.87079 1
   4.13189    9.29749 2
   2.78630    7.75160 1
   3.83688    9.41724 2
   4.47853    8.52634 2
   3.79485    7.93179 2
   4.36744    9.59824 2
   2.37065    7.77984 1
   3.23186    9.19023 2
   2.48765    8.43989 2
   3.84456    7.39352 1
   3.43038    7.65741 2
   3.45809    7.02959 1
   2.34491    7.30546 1
   3.50813    9.91659 2
   3.69321    9.74324 2
   2.00865    7.93424 1
   5.17566   11.17666 2
   2.77065    7.52126 1
   4.63344    9.41728 2
   3.37621    8.69955 1
   3.45051    6.96354 2
   4.58885    9.57710 2
   2.81708    5.22652 1
   2.80930    7.78723 1
   2.60049    5.11330 1
   2.57216    8.26954 1
   1.91939    8.53392 1
   2.76078    9.81036 2
   3.98017    7.74635 1
   3.23707    6.83429 1
   2.77110   11.26840 2
   2.91084    8.03290 2
   1.57270    7.15098 1
   3.90536    9.17790 2
   2.71434    6.84681 1
   4.34845    8.53479 2
   3.25918    8.59441 2
   3.54466    8.73258 2
   3.91776    8.58283 2
   3.13618    8.70880 2
   3.03658    6.43960 1
   3.07951    8.33755 2
   1.91841    7.48539 1
   2.23348    9.34506 2
   4.13987    8.80036 2
   2.41205    9.97304 2
   4.23641    7.97548 2
   2.68395    9.11836 2
   3.32053    8.86254 2
   2.78745    6.38819 1
   4.03004    5.55693 1
   2.25527    7.01328 1
   3.51883    6.78844 1
   2.58486    7.36128 1
   3.54850   11.52914 2
   1.63399   10.74012 2
   2.55557    6.84480 1
   3.34990   10.79853 2
   2.60310    7.45030 1
   4.01274   11.19552 2
   2.64868    6.89509 1
   2.16177    7.62858 2
   2.94589    9.40395 2
   3.39233    9.68509 2
   1.80965    7.28660 1
   3.13603    7.60077 1
   2.76307    5.73265 1
   2.66658   11.18420 2
   3.57391    8.74238 2
   1.49749    6.44402 1
   3.23176    6.80809 1
   2.85123    9.08292 2
   3.06443    6.05743 1
   3.14187    7.77531 1
   2.83914    5.70242 1
   2.35784    6.25423 1
   2.65650    7.24500 1
   2.85125   10.97246 2
   2.22981    6.92454 1
   1.46611    6.36292 1
   1.66530    6.78092 1
   3.76107    9.42611 2
   2.44233    7.99251 2
   1.48409    7.47763 1
   1.81550    8.02332 1
   1.85026    6.32534 1
   3.85295    8.71550 2
   2.37288    5.87668 1
   2.44930    7.40303 2
   3.36543    8.17976 2
   2.06428    6.62363 1
   1.81437    6.29093 1
   2.14546    6.43811 1
   4.34358    7.38815 1
   4.76951    7.52545 2
   2.40884    7.14529 2
   2.15292    7.50792 1
   2.94923    8.50837 1
   3.40893    9.72709 2
   3.12823    7.55067 1
   2.55413    7.56463 1
   2.49125    5.83109 1
   3.80677    7.76493 2
   2.59375    7.38013 1
   1.55757    7.50750 1
   3.16586    8.91695 2
   2.37609    6.50051 1
   2.65281    7.55102 1
   3.36176    7.42235 2
   3.71323   10.19677 2
   3.15253    6.59820 1
   2.14892    5.92568 1
   3.12242   10.04908 2
   4.06881   10.57257 2
   2.64410    6.38083 1
   2.17145    7.64875 1
   4.17701    8.30397 2
   4.21346    7.64647 2
   3.08601   11.31186 2
   3.31895    6.04992 1
   3.30557    8.15510 2
   2.31454    8.91736 2
   3.17626    7.86768 2
   4.10970    7.65125 2
   3.18600    9.42900 2
   1.23559    6.36259 1
   1.92719    7.59945 1
   1.59002    6.14590 1
   2.94280    6.16356 1
   2.46492   10.23103 2
   1.65060    6.88935 1
   4.28484    9.49471 2
   3.48539    7.03729 1
   2.99741    7.67133 1
   2.61097    6.69197 1
   1.47647    7.85875 1
   4.88101    7.88778 2
   4.05395    7.84112 2
   2.04128    8.10217 1
   1.80287    7.21798 1
   2.57394    6.72470 1
   2.93482    7.01818 1
   2.59816    7.84566 1
   3.30190    8.89487 2
   2.44510    7.71227 2
   3.08702   10.76543 2
   4.07360   10.76906 2
   3.11144    6.51395 1
   2.01949    9.50713 2
   1.91794    8.48289 1
   2.28606    6.64487 1
   3.10563    9.17795 2
   2.91902    6.53033 1
   3.29961   10.08859 2
   2.21061    6.53433 1
   3.06259    8.92392 2
   2.51425    7.69242 2
   2.72831    8.19365 2
   3.77523    8.54243 2
   1.07969    6.36785 1
   2.80102    7.01558 1
   2.95138    6.61274 1
   4.92229    8.80495 2
   4.77819    7.71571 2
   3.14865    7.07333 2
   3.24948    8.36215 2
   3.45857    8.81680 2
   4.18951    7.88800 2
   2.43838    7.96864 1
   2.82065    6.86892 1
   3.89421    8.96863 2
   2.80942    9.14405 2
   3.67265    8.41133 2
   1.71276    8.55324 1
   2.86558    6.78141 1
   1.24913    7.57832 1
   1.50118    8.12550 1
   2.12699    7.94938 1
   4.34064    9.67896 2
   2.37302    8.47423 2
   3.60488    6.31897 2
   2.37111    6.75913 1
   2.95780    7.75575 1
   3.72750    9.04551 2
   1.97197    7.31594 1
   4.62729    8.33371 2
   2.13270    7.82505 1
   2.12881    6.10546 1
   2.46466    6.22432 1
   3.05795    7.10351 1
   2.58413   10.42644 2
