   3.10575    8.65176    5.12386 6.12345 2
   3.60623    7.79335    5.12386 6.12345 2
   4.49634   10.16057    5.12386 6.12345 2
   4.23835    8.63116    5.12386 6.12345 2
   3.80555    8.27822    5.12386 6.12345 2
   4.46594    7.91819    5.12386 6.12345 2
   2.99117    7.49984    5.12386 6.12345 2
   2.56133    5.97639    5.12386 6.12345 1
   2.31611    5.87079    5.12386 6.12345 1
   4.13189    9.29749    5.12386 6.12345 2
   2.78630    7.75160    5.12386 6.12345 1
   3.83688    9.41724    5.12386 6.12345 2
   4.47853    8.52634    5.12386 6.12345 2
   3.79485    7.93179    5.12386 6.12345 2
   4.36744    9.59824    5.12386 6.12345 2
   2.37065    7.77984    5.12386 6.12345 1
   3.23186    9.19023    5.12386 6.12345 2
   2.48765    8.43989    5.12386 6.12345 2
   3.84456    7.39352    5.12386 6.12345 1
   3.43038    7.65741    5.12386 6.12345 2
   3.45809    7.02959    5.12386 6.12345 1
   2.34491    7.30546    5.12386 6.12345 1
   3.50813    9.91659    5.12386 6.12345 2
   3.69321    9.74324    5.12386 6.12345 2
   2.00865    7.93424    5.12386 6.12345 1
   5.17566   11.17666    5.12386 6.12345 2
   2.77065    7.52126    5.12386 6.12345 1
   4.63344    9.41728    5.12386 6.12345 2
   3.37621    8.69955    5.12386 6.12345 1
   3.45051    6.96354    5.12386 6.12345 2
   4.58885    9.57710    5.12386 6.12345 2
   2.81708    5.22652    5.12386 6.12345 1
   2.80930    7.78723    5.12386 6.12345 1
   2.60049    5.11330    5.12386 6.12345 1
   2.57216    8.26954    5.12386 6.12345 1
   1.91939    8.53392    5.12386 6.12345 1
   2.76078    9.81036    5.12386 6.12345 2
   3.98017    7.74635    5.12386 6.12345 1
   3.23707    6.83429    5.12386 6.12345 1
   2.77110   11.26840    5.12386 6.12345 2
   2.91084    8.03290    5.12386 6.12345 2
   1.57270    7.15098    5.12386 6.12345 1
   3.90536    9.17790    5.12386 6.12345 2
   2.71434    6.84681    5.12386 6.12345 1
   4.34845    8.53479    5.12386 6.12345 2
   3.25918    8.59441    5.12386 6.12345 2
   3.54466    8.73258    5.12386 6.12345 2
   3.91776    8.58283    5.12386 6.12345 2
   3.13618    8.70880    5.12386 6.12345 2
   3.03658    6.43960    5.12386 6.12345 1
   3.07951    8.33755    5.12386 6.12345 2
   1.91841    7.48539    5.12386 6.12345 1
   2.23348    9.34506    5.12386 6.12345 2
   4.13987    8.80036    5.12386 6.12345 2
   2.41205    9.97304    5.12386 6.12345 2
   4.23641    7.97548    5.12386 6.12345 2
   2.68395    9.11836    5.12386 6.12345 2
   3.32053    8.86254    5.12386 6.12345 2
   2.78745    6.38819    5.12386 6.12345 1
   4.03004    5.55693    5.12386 6.12345 1
   2.25527    7.01328    5.12386 6.12345 1
   3.51883    6.78844    5.12386 6.12345 1
   2.58486    7.36128    5.12386 6.12345 1
   3.54850   11.52914    5.12386 6.12345 2
   1.63399   10.74012    5.12386 6.12345 2
   2.55557    6.84480    5.12386 6.12345 1
   3.34990   10.79853    5.12386 6.12345 2
   2.60310    7.45030    5.12386 6.12345 1
   4.01274   11.19552    5.12386 6.12345 2
   2.64868    6.89509    5.12386 6.12345 1
   2.16177    7.62858    5.12386 6.12345 2
   2.94589    9.40395    5.12386 6.12345 2
   3.39233    9.68509    5.12386 6.12345 2
   1.80965    7.28660    5.12386 6.12345 1
   3.13603    7.60077    5.12386 6.12345 1
   2.76307    5.73265    5.12386 6.12345 1
   2.66658   11.18420    5.12386 6.12345 2
   3.57391    8.74238    5.12386 6.12345 2
   1.49749    6.44402    5.12386 6.12345 1
   3.23176    6.80809    5.12386 6.12345 1
   2.85123    9.08292    5.12386 6.12345 2
   3.06443    6.05743    5.12386 6.12345 1
   3.14187    7.77531    5.12386 6.12345 1
   2.83914    5.70242    5.12386 6.12345 1
   2.35784    6.25423    5.12386 6.12345 1
   2.65650    7.24500    5.12386 6.12345 1
   2.85125   10.97246    5.12386 6.12345 2
   2.22981    6.92454    5.12386 6.12345 1
   1.46611    6.36292    5.12386 6.12345 1
   1.66530    6.78092    5.12386 6.12345 1
   3.76107    9.42611    5.12386 6.12345 2
   2.44233    7.99251    5.12386 6.12345 2
   1.48409    7.47763    5.12386 6.12345 1
   1.81550    8.02332    5.12386 6.12345 1
   1.85026    6.32534    5.12386 6.12345 1
   3.85295    8.71550    5.12386 6.12345 2
   2.37288    5.87668    5.12386 6.12345 1
   2.44930    7.40303    5.12386 6.12345 2
   3.36543    8.17976    5.12386 6.12345 2
   2.06428    6.62363    5.12386 6.12345 1
   1.81437    6.29093    5.12386 6.12345 1
   2.14546    6.43811    5.12386 6.12345 1
   4.34358    7.38815    5.12386 6.12345 1
   4.76951    7.52545    5.12386 6.12345 2
   2.40884    7.14529    5.12386 6.12345 2
   2.15292    7.50792    5.12386 6.12345 1
   2.94923    8.50837    5.12386 6.12345 1
   3.40893    9.72709    5.12386 6.12345 2
   3.12823    7.55067    5.12386 6.12345 1
   2.55413    7.56463    5.12386 6.12345 1
   2.49125    5.83109    5.12386 6.12345 1
   3.80677    7.76493    5.12386 6.12345 2
   2.59375    7.38013    5.12386 6.12345 1
   1.55757    7.50750    5.12386 6.12345 1
   3.16586    8.91695    5.12386 6.12345 2
   2.37609    6.50051    5.12386 6.12345 1
   2.65281    7.55102    5.12386 6.12345 1
   3.36176    7.42235    5.12386 6.12345 2
   3.71323   10.19677    5.12386 6.12345 2
   3.15253    6.59820    5.12386 6.12345 1
   2.14892    5.92568    5.12386 6.12345 1
   3.12242   10.04908    5.12386 6.12345 2
   4.06881   10.57257    5.12386 6.12345 2
   2.64410    6.38083    5.12386 6.12345 1
   2.17145    7.64875    5.12386 6.12345 1
   4.17701    8.30397    5.12386 6.12345 2
   4.21346    7.64647    5.12386 6.12345 2
   3.08601   11.31186    5.12386 6.12345 2
   3.31895    6.04992    5.12386 6.12345 1
   3.30557    8.15510    5.12386 6.12345 2
   2.31454    8.91736    5.12386 6.12345 2
   3.17626    7.86768    5.12386 6.12345 2
   4.10970    7.65125    5.12386 6.12345 2
   3.18600    9.42900    5.12386 6.12345 2
   1.23559    6.36259    5.12386 6.12345 1
   1.92719    7.59945    5.12386 6.12345 1
   1.59002    6.14590    5.12386 6.12345 1
   2.94280    6.16356    5.12386 6.12345 1
   2.46492   10.23103    5.12386 6.12345 2
   1.65060    6.88935    5.12386 6.12345 1
   4.28484    9.49471    5.12386 6.12345 2
   3.48539    7.03729    5.12386 6.12345 1
   2.99741    7.67133    5.12386 6.12345 1
   2.61097    6.69197    5.12386 6.12345 1
